Removed Feature,Precision,Recall,F1 Micro,F1 Macro,AUC-PR
None,0.9062135922330097,0.8325008919015341,0.9860982119289464,0.9302290453867839,0.9304955488325609
in_txs_degree,0.9033378352305614,0.835176596503746,0.9860688832621298,0.9302838360648165,0.9304702794970822
out_txs_degree,0.9008358662613982,0.8458794149125937,0.9864501559307453,0.932669000423992,0.9314929466940677
total_BTC,0.9059165858389913,0.8330360328219765,0.9861079881512186,0.9303087085755336,0.9304987725399951
fees,0.9062309721940329,0.7964680699250802,0.9843287156976801,0.9197753346076915,0.9208717262401405
size,0.8946666666666667,0.8378523011059579,0.9857071630380588,0.9288905160778715,0.9297924741242072
num_input_addresses,0.9095359310749951,0.8285765251516233,0.9860884357066743,0.9299152838823297,0.9261806728580427
num_output_addresses,0.9063895902116916,0.8325008919015341,0.9861079881512186,0.930271987766626,0.9323374760108851
in_BTC_min,0.9061771561771562,0.8321441312879058,0.986078659484402,0.9301186416723232,0.9309224903185813
in_BTC_max,0.9058435255290235,0.8323225115947199,0.9860688832621298,0.9300879883594619,0.9304526657889647
in_BTC_mean,0.9060741315738405,0.8328576525151623,0.9861079881512186,0.9302964728714507,0.9306911029063679
in_BTC_median,0.9060376625897884,0.8325008919015341,0.9860884357066743,0.9301861104810628,0.9304496527531178
in_BTC_total,0.9063532154653196,0.8321441312879058,0.9860884357066743,0.9301615817645351,0.9305624745124701
out_BTC_min,0.9054080248110099,0.8332144131287906,0.9860884357066743,0.9302351130503597,0.9309652427968876
out_BTC_max,0.9057043073341094,0.8326792722083483,0.986078659484402,0.9301554468701927,0.9304567961436689
out_BTC_mean,0.9049370764762826,0.833749554049233,0.9860884357066743,0.9302718170517543,0.9308332260738275
out_BTC_median,0.9055469356089992,0.8328576525151623,0.986078659484402,0.9301677061199488,0.9305298438078884
out_BTC_total,0.9062135922330097,0.8325008919015341,0.9860982119289464,0.9302290453867839,0.9305789296475737
