Precision,Recall,F1 Micro,F1 Macro,AUC-PR,Removed Feature
0.9776172262360108,0.9674751156596103,0.9970605304611952,0.9854834733794303,0.9475689465440317,None
0.997377938517179,0.7732370671526707,0.9876994505453093,0.9323310533135145,0.7834008535064585,in_txs_degree
0.9933428079886304,0.9308846207766718,0.9959488080074165,0.9794815937312242,0.9284033340968351,out_txs_degree
0.9759496357077173,0.9671246319921492,0.9969512424911627,0.9849532590083449,0.9456323825506717,total_BTC
0.9865744087576165,0.6696340950511707,0.981748909004575,0.8941109009285996,0.6784050408146745,fees
0.7180836333425644,0.5452824898359736,0.9640442578593125,0.8004975102247724,0.4160050198305555,size
0.9776172262360108,0.9674751156596103,0.9970605304611952,0.9854834733794303,0.9475689465440317,num_input_addresses
0.9776172262360108,0.9674751156596103,0.9970605304611952,0.9854834733794303,0.9475689465440317,num_output_addresses
0.9841188897792671,0.94693677274639,0.9963256630764941,0.9816151976047524,0.9347511583592564,in_BTC_min
0.9759547383309759,0.9673349221926258,0.996962548143235,0.985010550256444,0.9458312454888204,in_BTC_max
0.9763723825693266,0.9674751156596103,0.9969926965487613,0.9851573570227383,0.9463645912736283,in_BTC_mean
0.9748132337246531,0.9603953455768961,0.9965367019151775,0.9828606568810535,0.9383353236162079,in_BTC_median
0.9780328798185941,0.9674751156596103,0.9970831417653399,0.9855922654219483,0.9479710810419159,in_BTC_total
0.9940036900369004,0.9063507640543951,0.9946712693232437,0.9726735214751583,0.9059507876607086,out_BTC_min
0.9903737685192149,0.9231038833590355,0.9953835254038002,0.9765608379816009,0.9183519718047903,out_BTC_max
0.9776172262360108,0.9674751156596103,0.9970605304611952,0.9854834733794303,0.9475689465440317,out_BTC_mean
0.9793014230271668,0.9551380905649797,0.9965027849589605,0.9826110899403334,0.9377799637198317,out_BTC_median
0.9776172262360108,0.9674751156596103,0.9970605304611952,0.9854834733794303,0.9475689465440317,out_BTC_total
